Sch_num,School,p_type,Department,Region,address,Disc_Cluster,requirement,Exam_Item,Talent,Quota,exam_date,Contact,link,note
SCH11400011,國立臺灣大學,國立,社會學系,北區,臺北市大安區羅斯福路四段1號,社會與心理學群,特殊才能 不同教育資歷： 1.實驗教育學生,"審查:0%(就所繳資料加以審查後決定可參加口試之名單。)
口試:100%(通過本學系審查資料後，評定為符合口試資格者。)",溝通能力、觀察力、分析能力、寫作能力,1,2024/12/12,黃瑜焄 / (02)33661217,https://www.sociology.ntu.edu.tw/,"【備註】詳細日程請以簡章公告為主

【計畫類別】特殊選才"
SCH11400012,國立臺灣大學,國立,動物科學技術學系,北區,臺北市大安區羅斯福路四段1號,生物資源學群,特殊才能 不同教育資歷： 1.實驗教育學生,"審查:0%(就所繳資料加以審查後決定可參加口試之名單。)
口試:100%(通過本學系審查資料後，評定為符合口試資格者。)",生物能力、化學能力、實驗能力、觀察力,1,2024/12/07,陳宜鴻 / (02)33664140,https://www.ntu.edu.tw/,"【備註】詳細日程請以簡章公告為主

【計畫類別】特殊選才"
SCH11400013,國立臺灣大學,國立,國際體育運動事務學士學位學程,北區,臺北市大安區羅斯福路四段1號,其他學群,特殊才能 不同教育資歷： 1.實驗教育學生,"審查:50%(就所繳資料加以審查後決定可參加口試之名單。)
口試:50%(通過本學系審查資料後，評定為符合口試資格者。)",基礎學科能力、溝通能力、表達能力、學習能力,1,2024/12/12,李芸蘋 / (02)33665959#480,https://www.ntu.edu.tw/,"【備註】詳細日程請以簡章公告為主

【計畫類別】特殊選才"
SCH11400014,國立臺灣大學,國立,森林環境暨資源學系,北區,臺北市大安區羅斯福路四段1號,生物資源學群,特殊才能 不同教育資歷： 1.實驗教育學生,"審查:0%(就所繳資料加以審查後決定可參加口試之名單。)
口試:100%(通過本學系審查資料後，評定為符合口試資格者。)",生物能力、化學能力、實驗能力、觀察力,6,2024/12/07,林建村 / (02)33664609,https://www.ntu.edu.tw/,"【備註】詳細日程請以簡章公告為主

【計畫類別】特殊選才"
SCH11400015,國立臺灣大學,國立,無組別,北區,臺北市大安區羅斯福路四段1號,其他學群,不同教育資歷： 1.新住民及其子女 2.經濟弱勢學生 3.其他：<br>特殊境遇家庭子女或孫子女、就讀偏遠地區高中之學生,原則上以審查為主,基礎學科能力、溝通能力、表達能力、學習能力,50,2024/12/02,"翁儷珊 / 02-33662388#216

聯絡人：魏玉惠",https://www.ntu.edu.tw/,"【備註】1.因本校114學年度學士班希望入學招生簡章尚未公告於招生資訊網站，目前日期皆為暫定，請考生務必依招生簡章公告內容為準。<br />2.由高中學校推薦，不受理個人逕行申請。<br />3.招生資訊網址：https://www.admissions.ntu.edu.tw/。<br />4.報名登入網址：https://reg.aca.ntu.edu.tw/hope/。<br />5.本招生原則上以審查資料為主，無特別訂定考試日期。

【計畫類別】特殊選才"
SCH11400016,國立臺灣大學,國立,園藝暨景觀學系,北區,臺北市大安區羅斯福路四段1號,生物資源學群,特殊才能 不同教育資歷： 1.實驗教育學生,"審查:50%(就所繳資料加以審查後決定可參加口試之名單。)
口試:50%(通過本學系審查資料後，評定為符合口試資格者。)",生物能力、化學能力、實驗能力、觀察力,1,2024/12/06,莊立綺 / (02)33664868,https://www.ntu.edu.tw/,"【備註】詳細日程請以簡章公告為主

【計畫類別】特殊選才"
SCH11400017,國立臺灣大學,國立,經濟學系,北區,臺北市大安區羅斯福路四段1號,財經學群,特殊才能 不同教育資歷： 1.實驗教育學生,"審查:0%(就所繳資料加以審查後決定可參加口試之名單。)
口試:100%(通過本學系審查資料後，評定為符合口試資格者。)",數學能力、邏輯推理、分析能力、英文能力,5,2024/12/06,吳孟珊 / (02)33668448,https://www.econ.ntu.edu.tw/,"【備註】詳細日程請以簡章公告為主

【計畫類別】特殊選才"
SCH11400018,國立臺灣大學,國立,農業經濟學系,北區,臺北市大安區羅斯福路四段1號,生物資源學群,特殊才能 不同教育資歷： 1.實驗教育學生,"審查:30%(就所繳資料加以審查後決定可參加口試之名單。)
口試:70%(通過本學系審查資料後，評定為符合口試資格者。)",數學能力、邏輯推理、分析能力、英文能力,1,2024/12/06,魏郁庭 / (02)33662676,https://www.ntu.edu.tw/,"【備註】詳細日程請以簡章公告為主

【計畫類別】特殊選才"
SCH11400019,國立臺灣大學,國立,農藝學系,北區,臺北市大安區羅斯福路四段1號,生物資源學群,特殊才能 不同教育資歷： 1.實驗教育學生,"審查:30%(就所繳資料加以審查後決定可參加口試之名單。)
口試:70%(通過本學系審查資料後，評定為符合口試資格者。)",生物能力、化學能力、實驗能力、觀察力,2,2024/12/06,黃秀鳳 / (02)33664751,https://www.ntu.edu.tw/,"【備註】詳細日程請以簡章公告為主

【計畫類別】特殊選才"
SCH11400020,國立臺灣大學,國立,數學系,北區,臺北市大安區羅斯福路四段1號,數理化學群,特殊才能 不同教育資歷： 1.實驗教育學生,"審查:0%(就所繳資料加以審查後決定可參加口試之名單。)
口試:100%(通過本學系審查資料後，評定為符合口試資格者。)",數學能力、邏輯推理、抽象思考、英文能力,11,2024/12/12,陳彥希 / (02)33662815,https://www.math.ntu.edu.tw/,"【備註】詳細日程請以簡章公告為主

【計畫類別】特殊選才"
SCH11400021,國立臺灣大學,國立,資訊工程學系,北區,臺北市大安區羅斯福路四段1號,資訊學群,特殊才能 不同教育資歷： 1.實驗教育學生. 2.其他(應與資安相關領域有關).,"審查:40%(就所繳資料加以審查後決定可參加口試之名單。)
口試:60%(通過本學系審查資料後，評定為符合口試資格者。)",邏輯推理、程式設計、數學能力、英文能力,3,2024/12/06,周承滿 / (02)33664888#250,https://www.csie.ntu.edu.tw/,"【備註】詳細日程請以簡章公告為主

【計畫類別】資安外加"
SCH11400022,國立臺灣師範大學,國立,公民教育與活動領導學系,北區,臺北市大安區和平東路一段162號,教育學群,特殊才能 不同教育資歷： 1.境外臺生 2.新住民及其子女 3.經濟弱勢學生 4.實驗教育學生 5.持境外學歷報考且同時持國外具公信力之入學用大型測驗成績者,僅書面審查：成績證明或學習狀況/ 自傳（學生自述）/ 讀書計畫（含申請動機、學習計畫等）/ 其他有利審查資料，占率75%，必符合「報考資格附加規定」之證明資料，占率25%。,溝通能力、表達能力、同理心、領導能力,7,2024/11/02,陳助教 / (02)7749-1868,https://www.ntnu.edu.tw/,"【備註】1.各項目依所占比率加計後，總成績滿分為100分。<br>2.各項資料均須於報名時繳齊，逾期不接受補繳。

【計畫類別】特殊選才"
SCH11400023,國立臺灣師範大學,國立,化學系,北區,臺北市大安區和平東路一段162號,數理化學群,特殊才能 不同教育資歷： 1.境外臺生 2.新住民及其子女 3.經濟弱勢學生 4.實驗教育學生,初試為書面審查所占比率為50%，複試為口試所占比率為50%。,化學能力、數學能力、實驗能力、英文能力,5,2024/11/02,林助教 / (02)7749-6109,https://www.ntnu.edu.tw/,"【備註】各考試項目滿分皆為100分；各項目依所占比率加計後，總成績滿分為100分。

【計畫類別】特殊選才"
SCH11400024,國立臺灣師範大學,國立,幼兒與家庭科學學系家庭生活與教育組,北區,臺北市大安區和平東路一段162號,教育學群,特殊才能,書面審查：就所繳資料加以審查，占率50%（初試成績特優者，得免複試逕行錄取，逕取生錄取總成績佔分比例為初試100%。）初試成績達一定標準始得參加口試進行甄選，占率50%。,溝通能力、表達能力、同理心、領導能力,1,2024/11/02,林亞寧行政專員 / (02)7749-1416,https://www.ntnu.edu.tw/,"【備註】各考試項目滿分皆為100分；各項目依所占比率加計後，總成績滿分為100分。

【計畫類別】特殊選才"
SCH11400025,國立臺灣師範大學,國立,生命科學系,北區,臺北市大安區和平東路一段162號,其他學群,特殊才能 不同教育資歷： 1.境外臺生 2.新住民及其子女 3.經濟弱勢學生 4.實驗教育學生,初試為書面審查所占比率為50%，複試為口試針對報考動機、生物專業問題等進行問答，所占比率為50%。,基礎學科能力、溝通能力、表達能力、學習能力,3,2024/11/02,翁怡如 / (02)7749-6291,https://www.ntnu.edu.tw/,"【備註】1.各考試項目滿分皆為100分；各項目依所占比率加計後，總成績滿分為100分。<br>2.招生目標：對生命科學具特殊性向與才能者，期能培育優秀的生命科學人才。<br>3.本系必修課包含實驗儀器操作，需具色彩辨識、親自操作及個人安全維護能力。

【計畫類別】特殊選才"
SCH11400026,國立臺灣師範大學,國立,光電工程學士學位學程,北區,臺北市大安區和平東路一段162號,工程學群,特殊才能,初試為書面審查所占比率為50%，複試為口試所占比率為50%。,物理能力、數學能力、邏輯推理、英文能力,2,2024/11/02,周助教 / (02)7749-6730,https://www.ntnu.edu.tw/,"【備註】各考試項目滿分皆為100分；各項目依所占比率加計後，總成績滿分為100分。

【計畫類別】特殊選才"
SCH11400027,國立臺灣師範大學,國立,地球科學系,北區,臺北市大安區和平東路一段162號,地球與環境學群,特殊才能 不同教育資歷： 1.境外臺生 2.新住民及其子女 3.經濟弱勢學生 4.實驗教育學生 5.持境外學歷報考且同時持國外具公信力之入學用大型測驗成績者,書面審查：就所繳資料加以審查，占率50%（初試通過者始得參加複試，成績特優者，得免複試逕行錄取，逕取生錄取總成績佔分比例為初試100%。）複試為口試進行甄選，占率50%。,地理能力、化學能力、觀察力、英文能力,4,2024/11/02,劉助教 / (02)7749-6374,https://www.ntnu.edu.tw/,"【備註】1.各考試項目滿分皆為100分；各項目依所占比率加計後，總成績滿分為100分。<br>2.本系為師資培育學系。<br>3.經此管道錄取本系者，不得轉系至其他系所。<br>4.凡擬就讀本校大學部之學生，其學科能力測驗成績優異或曾獲國際重要競賽獎項，並獲學系推薦者，可依本校「學士班新生入學成績優異獎學金實施要點」申請獎學金（總金額新臺幣50萬元整）。

【計畫類別】特殊選才"
SCH11400028,國立臺灣師範大學,國立,地理學系,北區,臺北市大安區和平東路一段162號,地球與環境學群,特殊才能,書面審查：就所繳資料加以審查，占率40%（初試成績特優者，得免複試逕行錄取，逕取生錄取總成績佔分比例為初試100%。）複試為口試，占60%。,地理能力、化學能力、觀察力、英文能力,2,2024/11/02,李助教 / (02)7749-1652,https://www.ntnu.edu.tw/,"【備註】各考試項目滿分皆為100分；各項目依所占比率加計後，總成績滿分為100分。

【計畫類別】特殊選才"
SCH11400029,國立臺灣師範大學,國立,物理學系,北區,臺北市大安區和平東路一段162號,數理化學群,特殊才能 不同教育資歷： 1.境外臺生 2.新住民及其子女 3.經濟弱勢學生 4.實驗教育學生 5.持境外學歷報考且同時持國外具公信力之入學用大型測驗成績者,初試為書面審查所占比率為60%，複試為口試所占比率為40%。,物理能力、數學能力、邏輯推理、英文能力,2,2024/11/02,高助教 / (02)7749-6004,https://www.ntnu.edu.tw/,"【備註】各考試項目滿分皆為100分；各項目依所占比率加計後，總成績滿分為100分。

【計畫類別】特殊選才"
SCH11400030,國立臺灣師範大學,國立,社會教育學系,北區,臺北市大安區和平東路一段162號,教育學群,特殊才能 不同教育資歷： 1.新住民及其子女 2.經濟弱勢學生 3.實驗教育學生,書面審查：就所繳資料加以審查，占率50%（初試成績特優者，得免複試逕行錄取，逕取生錄取總成績佔分比例為初試100%。）必要時得辦理口試進行甄選，占率50%。,溝通能力、表達能力、同理心、領導能力,6,2024/11/02,林助教 / (02)7749-3803,https://www.ntnu.edu.tw/,"【備註】各考試項目滿分皆為100分；各項目依所占比率加計後，總成績滿分為100分。

【計畫類別】特殊選才"
SCH11400031,國立臺灣師範大學,國立,表演藝術學士學位學程,北區,臺北市大安區和平東路一段162號,藝術學群,特殊才能 不同教育資歷： 1.境外臺生 2.新住民及其子女 3.經濟弱勢學生 4.實驗教育學生,初試為書面審查所占比率為30%，複試為術科考試－演唱、朗讀及肢體呈現（以初試總分擇優至多36名進複試）所占比率為70%。,創意能力、美學素養、表達能力、觀察力,7,2024/11/02,林助教 / (02)7749-5485,https://www.ntnu.edu.tw/,"【備註】1.各科滿分皆為100分；各項目依所占比率加計後，總成績滿分為100分。惟術科考試須達85分，始予錄取。<br>2.各項資料均須於報名時繳齊，逾期不接受補繳。<br>3.錄取之新生不得申請保留入學資格（惟服兵役不在此限）。<br>4.本學位學程需常使用視力、聽力及肢體表現。

【計畫類別】特殊選才"
SCH11400032,國立臺灣師範大學,國立,科技應用與人力資源發展學系,北區,臺北市大安區和平東路一段162號,管理學群,特殊才能,初試為書面審查所占比率為30%，複試為口試所占比率為70%。,領導能力、溝通能力、分析能力、英文能力,1,2024/11/02,周助教 / (02)7749-6730,https://www.ntnu.edu.tw/,"【備註】1.本系為師資培育學系。<br>2.各考試項目滿分皆為100分；各項目依所占比率加計後，總成績滿分為100分。<br>3.錄取之新生不得申請保留入學資格（惟服兵役不在此限）。<br>4.錄取之學生須通過本系外語能力檢定標準，始符合畢業資格。

【計畫類別】特殊選才"
SCH11400033,國立臺灣師範大學,國立,美術學系,北區,臺北市大安區和平東路一段162號,藝術學群,特殊才能 不同教育資歷： 1.境外臺生 2.新住民及其子女 3.經濟弱勢學生 4.實驗教育學生,初試為術科考試所占比率為40%，複試為口試暨作品與審查資料，所占比率為60%。,繪畫能力、創意能力、美學素養、觀察力,2,2024/11/02,曾助教 / (02)7749-3021,https://www.ntnu.edu.tw/,"【備註】1科滿分皆為100分；各項目依所占比率加計後，總成績滿分為100分。<br>2.報考資格附加規定之獲獎資歷需為近三年內（111~113年間)獲得，並於報考時檢附相關證明文件（影本）乙份，以供審核報考資格，逾期恕不接受補繳，亦不接受現場交件。<br>3.作品與資料審查，請於口試時以簡報方式呈現，不需另外繳交紙本作品集與相關資料。<br>4.錄取之新生不得申請保留入學資格（惟服兵役不在此限）。<br>5.本系為

【計畫類別】特殊選才"
SCH11400034,國立臺灣師範大學,國立,英語學系,北區,臺北市大安區和平東路一段162號,其他學群,特殊才能 不同教育資歷： 1.新住民及其子女 2.經濟弱勢學生 3.實驗教育學生,初試為書面審查所占比率為50%，複試為口試（初試達一定標準者，始得參加複試）所占比率為50%。,基礎學科能力、溝通能力、表達能力、學習能力,3,2024/11/02,陳助教 / (02)7749-1802,https://www.ntnu.edu.tw/,"【備註】1.各考試項目滿分皆為100分；各項目依所占比率加計後，總成績滿分為100分。<br>2.各項資料均須於報名時繳齊，逾期不接受補繳。<br>3.錄取生須通過全民英檢高級複試檢定（或等同之國際標準化測驗），始得畢業。

【計畫類別】特殊選才"
SCH11400035,國立臺灣師範大學,國立,音樂學系,北區,臺北市大安區和平東路一段162號,藝術學群,特殊才能 不同教育資歷： 1.實驗教育學生,初試為書面審查所占比率為20%，複試為術科及面試所占比率為80%。,音樂能力、創意能力、表演能力、美學素養,2,2024/11/02,許助教 / (02)7749-3013,https://www.ntnu.edu.tw/,"【備註】主修科目限鋼琴、弦樂（小提琴、中提琴、大提琴、低音提琴、豎琴）、管樂（長笛、單簧管、雙簧管、法國號、低音管、小號、長號、薩克斯管、上低音號、低音號），請於報名時選定。

【計畫類別】特殊選才"
SCH11400036,國立臺灣師範大學,國立,國文學系,北區,臺北市大安區和平東路一段162號,其他學群,特殊才能,初試為書面審查所占比率為50%，複試為口試（初試總分擇優取至多6名參加複試）所占比率為50%。,基礎學科能力、溝通能力、表達能力、學習能力,2,2024/11/02,蔡助教 / (02)7749-1603,https://www.ntnu.edu.tw/,"【備註】各考試項目滿分皆為100分；各項目依所占比率加計後，總成績滿分為100分。各項資料均須於報名時繳齊，逾期不接受補繳。

【計畫類別】特殊選才"
SCH11400037,國立臺灣師範大學,國立,教育學院學士班,北區,臺北市大安區和平東路一段162號,教育學群,特殊才能,初試為書面審查所占比率為50%，複試為面試所占比率為50%。,溝通能力、表達能力、同理心、領導能力,2,2024/11/02,汪助教 / (02)7749-6996,https://www.ntnu.edu.tw/,"【備註】1.各項目依所占比率加計後，總成績滿分為100分。<br>2.各項資料均須於報名時繳齊，逾期不接受補繳。<br>3.本班發展主軸為「跨領域X跨地域」，為全英語授課，以培育國際教育領導創新人才為目標，同時兼具3領域之第二專長培養：數位與文教創新、健康與樂活以及人力資源與職涯規劃。學生在學期間，除具修習國際教育領導創新人才之專長領域，應選擇一個或以上之第二領域專長。

【計畫類別】特殊選才"
SCH11400038,國立臺灣師範大學,國立,華語文教學系應用華語文學組,北區,臺北市大安區和平東路一段162號,其他學群,特殊才能 不同教育資歷： 1.境外臺生 2.新住民及其子女 3.經濟弱勢學生 4.實驗教育學生 5.持境外學歷報考且同時持國外具公信力之入學用大型測驗成績者,初試為書面審查所占比率為50%，複試為口試所占比率為50%。,基礎學科能力、溝通能力、表達能力、學習能力,2,2024/11/02,袁助教 / (02)7749-3632,https://www.ntnu.edu.tw/,"【備註】1.各考試項目滿分皆為100分；各項目依所占比率加計後，總成績滿分為100分。<br>2.所繳之各項資料均不退還，請自存底本。<br>3.錄取之學生須通過本系外語能力檢定標準，始符合畢業資格。

【計畫類別】特殊選才"
SCH11400039,國立臺灣師範大學,國立,資訊工程學系,北區,臺北市大安區和平東路一段162號,資訊學群,特殊才能,書面審查：就所繳資料加以審查，占率50%（初試成績特優者，得免複試逕行錄取，逕取生錄取總成績佔分比例為初試100%。）初試成績達一定標準始得參加口試，始得參加複試。複試以現場口試與資訊能力測驗進行，占率50%。,邏輯推理、程式設計、數學能力、英文能力,5,2024/11/02,陳助教 / (02)7749-6655,https://www.ntnu.edu.tw/,"【備註】1.各考試項目滿分皆為100分；各項目依所占比率加計後，總成績滿分為100分。<br>2.本組招生名額不得與資訊工程學系資安組流用。

【計畫類別】資安外加"
SCH11400040,國立臺灣師範大學,國立,資訊工程學系,北區,臺北市大安區和平東路一段162號,資訊學群,特殊才能,初試為書面審查：就所繳資料加以審查。審查項目包含高中資訊科技課程和相關社團之學習經歷表現、資安檢測和競賽經歷表現、資安相關具體成果等（初試成績特優者，得免複試逕行錄取，逕取生錄取總成績佔分比例為初試100%。）占比率為50%，複試是初試達一定標準者，始得參加複試，占比率為50%。,邏輯推理、程式設計、數學能力、英文能力,3,2024/11/02,陳姿婷助教 / (02)7749-6655,https://www.ntnu.edu.tw/,"【備註】1.各考試項目滿分皆為100分；各項目依所占比率加計後，總成績滿分為100分。<br>2.配合教育部「資安學研人才培育計畫」，本系以招生分組方式辦理資安外加名額招生。本組名額不得與資訊工程學系一般生組流用。

【計畫類別】資安外加"
SCH11400041,國立臺灣師範大學,國立,電機工程學系,北區,臺北市大安區和平東路一段162號,工程學群,特殊才能,初試為書面審查所占比率為50%，複試為口試所占比率為50%。,物理能力、數學能力、邏輯推理、英文能力,1,2024/11/02,鄭助教 / (02)7749-3531,https://www.ntnu.edu.tw/,"【備註】各考試項目滿分皆為100分；各項目依所占比率加計後，總成績滿分為100分。

【計畫類別】特殊選才"
SCH11400042,國立臺灣師範大學,國立,數學系,北區,臺北市大安區和平東路一段162號,數理化學群,特殊才能 不同教育資歷： 1.境外臺生 2.新住民及其子女 3.經濟弱勢學生 4.實驗教育學生 5.持境外學歷報考且同時持國外具公信力之入學用大型測驗成績者,初試為書面審查所占比率為40%，複試通過上午筆試者方可參加下午口試，所占比率為60%。,數學能力、邏輯推理、抽象思考、英文能力,5,2024/11/02,郭助教 / (02)7749-6580,https://www.ntnu.edu.tw/,"【備註】各考試項目滿分皆為100分；各項目依所占比率加計後，總成績滿分為100分。

【計畫類別】特殊選才"
SCH11400043,國立中興大學,國立,土木工程學系,中區,臺中市南區興大路145號,工程學群,不同教育資歷： 1.境外臺生 2.新住民及其子女 3.經濟弱勢學生 4.實驗教育學生 5.其他：<br>中彰投地區學生,"甄試說明:書審(權重*1.0)+擇優面試(權重*1.0)

篩選條件、繳交資料、考試日程與考試規範以114學年度特殊選才簡章公告為準",物理能力、數學能力、空間概念、繪圖能力,3,2024/12/05,"江助教 / 04-22840437轉242

聯絡人：黃小姐",https://www.nchu.edu.tw/,【計畫類別】特殊選才
SCH11400044,國立中興大學,國立,土壤環境科學系,中區,臺中市南區興大路145號,地球與環境學群,特殊才能 不同教育資歷： 1.境外臺生 2.新住民及其子女 3.經濟弱勢學生 4.實驗教育學生 5.持境外學歷報考且同時持國外具公信力之入學用大型測驗成績者 6.其他：<br>具農家子弟身分、中彰投地區學生、相關實務經驗,"本系採甲、乙組分組徵選。
甲組-甄試說明:書審(權重*1.0)+擇優面試(權重*1.0)
乙組-甄試說明:書審(權重*1.0)+擇優面試(權重*1.0)

篩選條件、繳交資料、考試日程與考試規範以114學年度特殊選才簡章公告為準",地理能力、化學能力、觀察力、英文能力,2,2024/12/05,"鄒小姐 / 04-22840373轉3303

聯絡人：黃小姐",https://www.nchu.edu.tw/,【計畫類別】特殊選才
SCH11400045,國立中興大學,國立,中國文學系,中區,臺中市南區興大路145號,文史哲學群,特殊才能 不同教育資歷： 1.新住民及其子女 2.經濟弱勢學生,"本系採甲、乙組分組徵選。
甲組-甄試說明:書審(權重*1.0)
乙組-甄試說明:書審(權重*1.0)

篩選條件、繳交資料、考試日程與考試規範以114學年度特殊選才簡章公告為準",閱讀能力、寫作能力、分析能力、文化素養,3,2024/12/05,"徐小姐 / 04-22840317轉882

聯絡人：黃小姐",https://www.nchu.edu.tw/,【計畫類別】特殊選才
SCH11400046,國立中興大學,國立,化學工程學系,中區,臺中市南區興大路145號,工程學群,特殊才能 不同教育資歷： 1.境外臺生 2.新住民及其子女 3.經濟弱勢學生 4.實驗教育學生 5.持境外學歷報考且同時持國外具公信力之入學用大型測驗成績者 6.其他：<br>相關實務經驗,"本系採甲、乙組分組徵選。
甲組-甄試說明:書審(權重*1.5)+擇優面試(權重*1.0)
乙組-甄試說明:書審(權重*1.5)+擇優面試(權重*1.0)

篩選條件、繳交資料、考試日程與考試規範以114學年度特殊選才簡章公告為準",化學能力、數學能力、實驗能力、英文能力,2,2024/12/05,"顧小姐 / 04-22840510轉111

聯絡人：黃小姐",https://www.nchu.edu.tw/,【計畫類別】特殊選才
SCH11400047,國立中興大學,國立,化學系,中區,臺中市南區興大路145號,數理化學群,特殊才能 不同教育資歷： 1.境外臺生 2.新住民及其子女 3.經濟弱勢學生 4.實驗教育學生 5.持境外學歷報考且同時持國外具公信力之入學用大型測驗成績者 6.其他：<br>中彰投地區學生、相關實務經驗,"本系採甲、乙組分組徵選。
甲組-甄試說明:書審(權重*1.0)+擇優面試(權重*1.0)
乙組-甄試說明:書審(權重*1.0)+擇優面試(權重*1.0)

篩選條件、繳交資料、考試日程與考試規範以114學年度特殊選才簡章公告為準",化學能力、數學能力、實驗能力、英文能力,2,2024/12/05,"吳小姐 / 04-22840411轉478

聯絡人：黃小姐",https://www.nchu.edu.tw/,【計畫類別】特殊選才
SCH11400048,國立中興大學,國立,水土保持學系,中區,臺中市南區興大路145號,其他學群,特殊才能 不同教育資歷： 1.境外臺生 2.新住民及其子女 3.經濟弱勢學生 4.實驗教育學生 5.持境外學歷報考且同時持國外具公信力之入學用大型測驗成績者 6.其他：<br>具農家子弟身分,"甄試說明:書審(權重*1.0)+擇優面試(權重*1.0)

篩選條件、繳交資料、考試日程與考試規範以114學年度特殊選才簡章公告為準",基礎學科能力、溝通能力、表達能力、學習能力,1,2024/12/05,"曾小姐 / 04-22840381轉206

聯絡人：黃小姐",https://www.nchu.edu.tw/,【計畫類別】特殊選才
